date,day_of_week,day_of_month,month,quarter,is_weekend,is_month_end,is_quarter_end,daily_sales,orders_count,opening_cash,direct_cash_sales,receivables_collected,total_inflow,vendor_outflow,opex_outflow,payroll_outflow,rent_outflow,total_outflow,net_cash_flow,closing_cash,pending_ar,pending_ap
2023-01-01,6,1,1,1,1,0,0,22300.77,3,500000.0,6690.23,51887.2,58577.43,14151.2,1468.06,189359.67,0.0,204978.93,-146401.5,353598.5,363723.35,248168.74
2023-01-02,0,2,1,1,0,0,0,92331.23,10,353598.5,27699.37,43894.14,71593.51,9193.72,11729.19,56648.85,0.0,77571.77,-5978.26,347620.24,384461.06,289077.41
2023-01-03,1,3,1,1,0,0,0,42886.85,4,347620.24,12866.06,31391.98,44258.04,16332.22,6887.51,0.0,0.0,23219.72,21038.32,368658.56,383089.88,303968.52
2023-01-04,2,4,1,1,0,0,0,73956.37,5,368658.56,22186.91,31713.25,53900.16,14942.56,7104.63,0.0,0.0,22047.19,31852.97,400511.53,403146.09,319683.72
2023-01-05,3,5,1,1,0,0,0,44176.43,5,400511.53,13252.93,42066.12,55319.05,11608.4,8467.9,0.0,62557.86,82634.16,-27315.11,373196.42,392003.47,352770.7
2023-01-06,4,6,1,1,0,0,0,98306.98,8,373196.42,29492.09,36231.97,65724.07,17192.87,3879.05,0.0,0.0,21071.92,44652.14,417848.56,424586.38,390370.41
2023-01-07,5,7,1,1,1,0,0,23973.89,2,417848.56,7192.17,19809.28,27001.44,12560.32,3727.96,0.0,0.0,16288.29,10713.16,428561.72,421558.83,387761.85
2023-01-08,6,8,1,1,1,0,0,29644.32,2,428561.72,8893.3,23207.31,32100.6,20641.68,1554.56,0.0,0.0,22196.25,9904.36,438466.08,419102.54,377320.85
2023-01-09,0,9,1,1,0,0,0,85753.35,11,438466.08,25726.0,37170.88,62896.88,23515.68,11296.87,0.0,0.0,34812.55,28084.33,466550.41,441959.01,412638.34
2023-01-10,1,10,1,1,0,0,0,43909.76,3,466550.41,13172.93,19762.98,32935.91,36470.72,5442.14,0.0,0.0,41912.86,-8976.95,457573.46,452932.86,408376.82
2023-01-11,2,11,1,1,0,0,0,55525.43,7,457573.46,16657.63,25198.58,41856.21,28913.92,10219.77,0.0,0.0,39133.69,2722.52,460295.97,466602.08,421833.94
2023-01-12,3,12,1,1,0,0,0,101052.58,8,460295.97,30315.77,38091.84,68407.62,24376.86,10339.15,0.0,0.0,34716.01,33691.6,493987.58,499247.05,423747.04
2023-01-13,4,13,1,1,0,0,0,82420.77,6,493987.58,24726.23,39459.76,64185.99,19695.6,4042.82,0.0,0.0,23738.42,40447.57,534435.15,517481.82,424513.02
2023-01-14,5,14,1,1,1,0,0,28644.1,2,534435.15,8593.23,28616.05,37209.28,18255.2,1975.55,0.0,0.0,20230.75,16978.53,551413.67,508916.64,411893.4
2023-01-15,6,15,1,1,1,0,0,29007.72,2,551413.67,8702.31,63920.29,72622.61,14665.38,3139.73,0.0,0.0,17805.11,54817.5,606231.17,465301.75,406950.18
2023-01-16,0,16,1,1,0,0,0,70302.28,9,606231.17,21090.68,58315.92,79406.6,22758.25,6847.87,0.0,0.0,29606.12,49800.48,656031.65,456197.43,424276.87
2023-01-17,1,17,1,1,0,0,0,37545.16,2,656031.65,11263.55,31849.15,43112.7,20053.7,7577.14,0.0,0.0,27630.84,15481.86,671513.51,450629.89,450975.35
2023-01-18,2,18,1,1,0,0,0,47761.36,5,671513.51,14328.41,43693.69,58022.1,19705.06,3692.82,0.0,0.0,23397.88,34624.22,706137.73,440369.15,483592.31
2023-01-19,3,19,1,1,0,0,0,41398.24,3,706137.73,12419.47,57964.77,70384.24,29791.43,10843.15,0.0,0.0,40634.58,29749.67,735887.4,411383.14,508580.5
2023-01-20,4,20,1,1,0,0,0,43229.69,4,735887.4,12968.91,53493.58,66462.49,34313.19,11064.82,0.0,0.0,45378.02,21084.47,756971.87,388150.34,516481.56
2023-01-21,5,21,1,1,1,0,0,15556.32,2,756971.87,4666.9,19599.8,24266.7,32975.52,3582.19,0.0,0.0,36557.71,-12291.01,744680.85,379439.97,492777.12
2023-01-22,6,22,1,1,1,0,0,25774.06,1,744680.85,7732.22,22535.8,30268.02,17397.24,2012.85,0.0,0.0,19410.09,10857.93,755538.79,374946.01,482600.95
2023-01-23,0,23,1,1,0,0,0,53101.41,3,755538.79,15930.42,25036.78,40967.2,23718.84,11746.04,0.0,0.0,35464.88,5502.32,761041.1,387080.22,508748.25
